1 5998470 60020 21 5 13 12740.26 0.08 0.07 N O 1998-04-21 1998-03-22 1998-04-27 COLLECT COD AIR ccording to the slyly pe 1 21 VIETNAM 2 hely enticingly express accounts. even, final  
1 4862720 55011 22 2 19 18354.19 0.07 0.06 N O 1998-04-05 1998-03-30 1998-04-19 DELIVER IN PERSON REG AIR cross the slyly final excuses detect i 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4860322 157506 22 2 19 29706.50 0.06 0.01 R F 1994-11-08 1994-12-27 1994-11-14 COLLECT COD RAIL arefully unusual asymptotes. silent,  1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4851493 50021 22 5 8 7768.16 0.03 0.06 N O 1998-06-11 1998-05-03 1998-07-10 DELIVER IN PERSON RAIL phins poach. regula 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4851330 197502 22 4 50 79975.00 0.05 0.00 R F 1993-07-31 1993-08-09 1993-08-07 TAKE BACK RETURN REG AIR odolites wake blithe 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4846626 77514 22 1 47 70100.97 0.10 0.08 N O 1997-07-24 1997-08-10 1997-08-08 NONE AIR ng theodolites acc 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4816357 160021 22 3 47 50807.94 0.01 0.08 N O 1997-10-27 1997-10-06 1997-10-31 NONE AIR osits are even, special deposits 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4811265 85005 22 1 45 44550.00 0.06 0.01 A F 1992-03-29 1992-05-08 1992-04-25 COLLECT COD AIR y pending deposits unwind 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4796611 132482 22 3 1 1514.48 0.05 0.06 A F 1993-04-01 1993-04-17 1993-04-28 NONE AIR s. ironic, exp 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4793510 182467 22 2 20 30989.20 0.00 0.05 N O 1996-09-02 1996-08-20 1996-10-01 COLLECT COD MAIL  sleep fluffily pending accounts. furiou 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4788992 20021 22 4 23 21643.46 0.08 0.08 N O 1996-07-20 1996-07-24 1996-08-15 DELIVER IN PERSON TRUCK regular theodolites wake  1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4777767 82497 22 2 27 39946.23 0.03 0.00 N O 1996-12-05 1996-10-24 1996-12-23 NONE TRUCK oward the silent  1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4769025 52506 22 1 37 53964.50 0.02 0.05 R F 1994-02-14 1994-02-11 1994-03-10 NONE REG AIR refully ironic theodolites ar 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4752647 72500 22 4 1 1472.50 0.04 0.06 N O 1995-08-17 1995-08-05 1995-08-31 NONE SHIP  cajole above the packages 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4738401 130021 22 2 47 49397.94 0.10 0.03 R F 1993-12-06 1993-12-30 1994-01-01 TAKE BACK RETURN REG AIR ts-- carefully unusual accounts affix blith 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4732644 172470 22 5 40 61698.80 0.04 0.03 A F 1994-05-04 1994-06-28 1994-05-30 NONE SHIP efully fluffy frays: carefully unusual re 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4729028 15019 22 4 7 6538.07 0.01 0.07 N O 1997-08-14 1997-08-17 1997-09-05 NONE REG AIR r depths are ca 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4719491 47517 22 2 41 60044.91 0.06 0.08 A F 1994-01-04 1993-12-10 1994-01-23 DELIVER IN PERSON MAIL e slyly acro 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4690306 154991 22 4 50 102299.50 0.10 0.06 N O 1995-07-04 1995-07-09 1995-07-16 DELIVER IN PERSON MAIL ackages. fu 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4668385 70021 22 2 6 5946.12 0.02 0.05 R F 1992-05-25 1992-03-03 1992-06-07 NONE RAIL y blithe frays. fluf 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4663556 37518 22 3 19 27654.69 0.07 0.02 N O 1996-12-21 1996-11-28 1996-12-22 DELIVER IN PERSON TRUCK nding requests prom 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4642822 77514 22 3 39 58168.89 0.05 0.03 R F 1993-11-09 1993-11-11 1993-12-04 TAKE BACK RETURN FOB s sleep slyly foxes.  1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4642053 20021 22 6 50 47051.00 0.03 0.03 A F 1994-01-06 1993-11-21 1994-01-18 TAKE BACK RETURN MAIL  sleep after the final id 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4637505 75007 22 4 16 15712.00 0.05 0.00 N O 1997-12-17 1998-01-07 1998-01-07 DELIVER IN PERSON MAIL o beans sle 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4610663 177504 22 1 2 3163.00 0.01 0.06 N O 1996-09-28 1996-07-20 1996-10-05 COLLECT COD TRUCK ptotes. close orbits breach unusu 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4608705 22515 22 3 43 61812.93 0.01 0.00 N O 1997-11-06 1997-10-11 1997-12-04 DELIVER IN PERSON FOB pending pinto bean 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4593671 20021 22 1 14 13174.28 0.01 0.08 R F 1994-09-15 1994-07-24 1994-10-03 DELIVER IN PERSON MAIL  even ideas haggle carefully among the qu 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4591015 132482 22 4 37 56035.76 0.07 0.07 R F 1992-11-30 1992-11-14 1992-12-24 DELIVER IN PERSON REG AIR s wake furiously express accounts. final pa 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4579616 177504 22 1 12 18978.00 0.09 0.07 N O 1996-01-25 1996-02-01 1996-02-18 DELIVER IN PERSON AIR ual requests na 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4571938 124997 22 3 35 70769.65 0.07 0.00 N O 1997-07-31 1997-07-03 1997-08-01 COLLECT COD FOB ously iron 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4560517 17520 22 5 25 35938.00 0.06 0.07 R F 1992-05-17 1992-06-21 1992-05-29 NONE MAIL y ironic foxes use quickly. car 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4539079 92494 22 4 21 31216.29 0.03 0.02 R F 1994-06-05 1994-06-14 1994-06-24 NONE FOB ronic requests promise carefully acco 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4537798 132482 22 2 3 4543.44 0.00 0.01 A F 1992-11-09 1992-10-17 1992-11-24 TAKE BACK RETURN TRUCK y silent ideas across the fu 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4536260 40021 22 3 5 4805.10 0.03 0.05 R F 1995-01-17 1995-02-13 1995-02-05 COLLECT COD SHIP le quickly. blithely even deposits us 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4527330 87513 22 2 4 6002.04 0.01 0.05 A F 1993-09-08 1993-08-18 1993-09-29 DELIVER IN PERSON FOB ts. ironic, regular pinto beans x-ray blith 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4515648 140021 22 1 38 40318.76 0.10 0.00 A F 1994-09-21 1994-10-03 1994-10-11 DELIVER IN PERSON MAIL te slyly blithely express forges. regula 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4507014 85005 22 5 28 27720.00 0.01 0.01 R F 1994-12-03 1994-10-21 1994-12-21 DELIVER IN PERSON AIR xes use fluffily ev 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4485635 80021 22 4 1 1001.02 0.00 0.07 N O 1998-01-16 1998-02-17 1998-01-29 COLLECT COD TRUCK sly regular notornis. slyly even foxes use 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4474950 60021 22 1 38 37278.76 0.02 0.06 N O 1997-10-15 1997-09-21 1997-10-21 DELIVER IN PERSON REG AIR ic instructions. furiou 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4470659 172470 22 5 50 77123.50 0.02 0.04 N O 1996-02-19 1996-02-16 1996-02-29 NONE RAIL detect-- blithel 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4467745 77514 22 2 16 23864.16 0.02 0.06 N O 1995-12-02 1996-01-13 1995-12-26 TAKE BACK RETURN REG AIR ing instructions. slyly ruth 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4460742 147507 22 2 29 45080.50 0.05 0.08 R F 1993-12-10 1993-11-17 1993-12-29 TAKE BACK RETURN AIR  fluffily after the 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4447458 27519 22 1 34 49181.34 0.05 0.02 N O 1998-08-17 1998-10-01 1998-09-15 NONE SHIP lyly about the quickly ex 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4441250 190021 22 7 47 52217.94 0.06 0.07 R F 1993-07-30 1993-07-08 1993-08-25 NONE AIR y ironic theodolites about th 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4435809 2521 22 4 36 51246.72 0.05 0.01 R F 1995-05-31 1995-06-18 1995-06-17 NONE RAIL y bold pinto beans are across the 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4432005 87513 22 1 5 7502.55 0.06 0.00 N O 1998-04-27 1998-06-24 1998-05-04 TAKE BACK RETURN MAIL  play carefully against the fluffily 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4425378 60021 22 4 50 49051.00 0.03 0.03 A F 1992-08-14 1992-08-30 1992-08-18 DELIVER IN PERSON REG AIR ons haggle 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4408929 70021 22 1 43 42613.86 0.08 0.04 R F 1993-08-02 1993-06-15 1993-08-23 TAKE BACK RETURN SHIP deposits nag furiously ironic ideas. reg 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4371904 160021 22 2 1 1081.02 0.10 0.04 N O 1995-12-07 1995-10-24 1995-12-19 TAKE BACK RETURN SHIP sits: furiously s 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4358048 180021 22 2 26 28626.52 0.00 0.05 N O 1996-02-07 1996-03-18 1996-02-26 TAKE BACK RETURN TRUCK s detect above the slyly ironic packages:  1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4332995 40021 22 1 28 26908.56 0.05 0.07 N O 1997-09-17 1997-11-13 1997-09-21 NONE RAIL s attainments boost furiously spe 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4332450 72500 22 6 39 57427.50 0.10 0.08 A F 1993-10-27 1993-12-16 1993-11-17 NONE TRUCK the carefully bold packages. ideas s 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4332130 27519 22 5 18 26037.18 0.01 0.06 A F 1994-02-15 1994-02-02 1994-03-05 NONE MAIL eans wake b 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4328992 194983 22 4 13 27013.74 0.06 0.00 N O 1998-04-04 1998-06-07 1998-04-24 COLLECT COD MAIL into beans 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4328067 124997 22 6 47 95033.53 0.05 0.04 N O 1996-06-06 1996-08-11 1996-06-30 COLLECT COD RAIL pending, sp 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4316321 114999 22 1 19 38265.81 0.03 0.07 N O 1995-10-19 1995-11-26 1995-11-11 DELIVER IN PERSON AIR ts. ironic, regular r 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4312070 10021 22 7 2 1862.04 0.03 0.04 A F 1994-08-09 1994-06-20 1994-08-24 NONE RAIL d the quickly unusual fo 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4309348 52506 22 1 43 62715.50 0.03 0.01 R F 1995-02-24 1995-04-23 1995-02-26 DELIVER IN PERSON RAIL ly slyly unusual deposits. s 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4295879 92494 22 2 4 5945.96 0.01 0.05 A F 1993-06-25 1993-09-01 1993-07-15 NONE FOB counts about the special orbits wake alon 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4274501 134995 22 1 34 69019.66 0.09 0.05 N O 1996-07-29 1996-08-28 1996-08-13 NONE AIR above the final theodolites. request 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4267552 87513 22 2 31 46515.81 0.10 0.03 N O 1996-05-30 1996-04-27 1996-06-04 COLLECT COD SHIP sly regular re 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4246531 30021 22 4 38 36138.76 0.09 0.05 A F 1994-09-14 1994-09-21 1994-10-11 TAKE BACK RETURN TRUCK  blithely even accoun 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4241794 180021 22 1 48 52848.96 0.03 0.07 A F 1994-05-24 1994-05-31 1994-06-17 NONE RAIL  carefully regular req 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4238790 197502 22 6 48 76776.00 0.02 0.08 A F 1993-01-30 1992-11-11 1993-02-21 NONE MAIL es. blithely unusual foxes against the  1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4228293 60021 22 7 15 14715.30 0.05 0.01 A F 1994-08-31 1994-08-09 1994-09-20 COLLECT COD RAIL accounts. requests ab 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4215460 114999 22 3 33 66461.67 0.01 0.03 R F 1994-12-25 1994-11-29 1994-12-29 NONE FOB ording to th 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4199586 102491 22 2 20 29869.80 0.04 0.08 N O 1996-09-11 1996-10-20 1996-09-26 TAKE BACK RETURN REG AIR y even accounts boost regular requests 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4199236 65009 22 1 21 20454.00 0.00 0.06 N O 1996-01-04 1995-12-26 1996-02-03 NONE MAIL s are across  1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4176771 5021 22 3 38 35188.76 0.05 0.03 N O 1996-09-27 1996-11-18 1996-10-19 TAKE BACK RETURN FOB ly regular courts sleep furiou 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4158247 132482 22 3 25 37862.00 0.02 0.03 R F 1995-02-24 1995-01-28 1995-03-23 DELIVER IN PERSON TRUCK er the thin co 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4155264 32512 22 1 29 41890.79 0.01 0.02 N O 1996-06-15 1996-07-23 1996-07-14 DELIVER IN PERSON MAIL beans use slyly. carefully unus 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4147586 102491 22 4 37 55259.13 0.01 0.02 N O 1996-10-05 1996-10-15 1996-10-09 TAKE BACK RETURN TRUCK xcuses along the ironic instruction 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4140679 177504 22 2 34 53771.00 0.08 0.02 R F 1993-02-15 1992-12-23 1993-03-12 TAKE BACK RETURN SHIP  express foxes use carefull 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4100833 21 22 3 42 38682.84 0.08 0.08 A F 1994-05-20 1994-03-09 1994-05-26 COLLECT COD SHIP luffily sil 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4097030 75007 22 4 9 8838.00 0.06 0.06 N O 1998-04-05 1998-02-28 1998-04-23 COLLECT COD AIR ng pinto beans affix. specia 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 4070918 144993 22 4 4 8151.96 0.07 0.04 N O 1995-12-13 1995-11-09 1995-12-26 TAKE BACK RETURN AIR  asymptotes are carefully. caref 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3996096 154991 22 2 32 65471.68 0.05 0.06 N O 1995-09-18 1995-08-27 1995-10-11 COLLECT COD FOB pths. slyly ironic pinto beans bo 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3986402 60021 22 4 21 20601.42 0.08 0.04 N O 1998-09-16 1998-07-25 1998-09-28 NONE TRUCK the carefully final somas. even asymptotes  1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3975201 10021 22 6 9 8379.18 0.10 0.05 R F 1992-06-13 1992-04-01 1992-07-02 TAKE BACK RETURN REG AIR after the pending p 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3961126 21 22 1 49 45129.98 0.03 0.06 R F 1994-04-10 1994-04-14 1994-05-01 DELIVER IN PERSON TRUCK  platelets cajole furiously 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3956705 167505 22 6 6 9435.00 0.02 0.08 N O 1997-01-13 1996-11-08 1997-01-14 TAKE BACK RETURN SHIP furiously even deposits maintain slyly a 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3918305 114999 22 5 11 22153.89 0.01 0.00 R F 1992-09-04 1992-06-16 1992-09-27 NONE TRUCK ld excuses. pending, 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3912356 25017 22 1 32 30144.32 0.08 0.00 N O 1996-02-17 1996-02-25 1996-03-13 NONE REG AIR quests promise according to the carefull 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3902466 147507 22 1 48 74616.00 0.09 0.03 N O 1996-03-22 1996-03-03 1996-04-01 COLLECT COD AIR ose deposits cajole special ex 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3896261 174987 22 3 4 8247.92 0.01 0.08 N O 1996-10-31 1996-09-05 1996-11-27 COLLECT COD RAIL s. quickly r 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3894790 45013 22 1 34 32572.34 0.09 0.05 R F 1994-11-10 1995-01-07 1994-11-24 NONE MAIL es after the regular d 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3885186 2521 22 5 16 22776.32 0.03 0.02 N O 1995-11-17 1995-11-09 1995-12-10 COLLECT COD FOB es. blithely 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3877952 72500 22 4 15 22087.50 0.04 0.05 R F 1992-05-27 1992-05-20 1992-06-07 NONE RAIL l courts. blith 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3864322 5021 22 3 32 29632.64 0.09 0.05 R F 1993-08-15 1993-07-09 1993-08-28 DELIVER IN PERSON REG AIR rding to the carefully express 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3860644 30021 22 5 33 31383.66 0.03 0.04 R F 1994-06-28 1994-08-09 1994-07-07 NONE FOB heaves integrate  1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3859047 197502 22 2 15 23992.50 0.06 0.05 R F 1994-12-28 1994-10-10 1995-01-09 DELIVER IN PERSON TRUCK ts. doggedly even packages are slyly. re 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3853857 17520 22 1 29 41688.08 0.03 0.00 R F 1993-11-26 1994-01-15 1993-11-27 COLLECT COD SHIP s boost carefully slyly special ideas. ev 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3820484 10021 22 4 38 35378.76 0.03 0.00 N O 1997-07-30 1997-07-10 1997-08-10 NONE AIR tect slyly furiously even pinto be 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3814241 174987 22 7 1 2061.98 0.01 0.08 A F 1992-10-19 1992-09-12 1992-10-22 DELIVER IN PERSON SHIP  to the quickly ironic deposits cajo 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3813861 12518 22 6 3 4291.53 0.10 0.01 A F 1993-03-12 1993-03-01 1993-04-04 DELIVER IN PERSON REG AIR ending, close 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3802724 114999 22 2 30 60419.70 0.01 0.00 R F 1994-01-21 1993-11-21 1994-02-10 TAKE BACK RETURN REG AIR s use. quickly thin req 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3797730 105001 22 5 11 11066.00 0.01 0.02 A F 1993-02-28 1993-05-09 1993-03-12 TAKE BACK RETURN TRUCK lar ideas are quickly blithely regul 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3794272 140021 22 2 28 29708.56 0.00 0.03 N O 1998-06-07 1998-08-05 1998-06-09 NONE REG AIR nic foxes sleep regularly 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3769665 117510 22 4 6 9165.06 0.02 0.08 N O 1997-08-20 1997-09-13 1997-08-28 NONE MAIL hely regular asymptotes use slyl 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3768897 47517 22 2 35 51257.85 0.04 0.07 R F 1992-06-17 1992-04-27 1992-07-05 NONE AIR inly ironic packages unwind 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3749030 7521 22 1 9 12856.68 0.09 0.04 A F 1994-05-03 1994-03-26 1994-05-16 TAKE BACK RETURN MAIL al sauternes among the carefully even d 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3741191 110021 22 2 44 45364.88 0.08 0.07 N O 1997-01-10 1996-12-31 1997-01-15 COLLECT COD REG AIR es nag along the s 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3740032 150021 22 2 42 44982.84 0.00 0.00 R F 1992-06-21 1992-06-15 1992-07-18 DELIVER IN PERSON FOB c packages wake. blithely even packages a 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3715140 32512 22 2 18 26001.18 0.03 0.04 A F 1995-04-11 1995-05-20 1995-05-11 TAKE BACK RETURN REG AIR ounts. pend 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3698786 124997 22 1 36 72791.64 0.09 0.05 N O 1996-08-16 1996-10-20 1996-08-21 NONE REG AIR  to the daring, ironic  1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3693509 152476 22 3 39 59610.33 0.02 0.02 R F 1992-07-01 1992-06-19 1992-07-05 DELIVER IN PERSON FOB  detect slyly quickly express braid 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3678816 180021 22 3 41 45141.82 0.00 0.01 N O 1997-05-02 1997-03-31 1997-05-10 DELIVER IN PERSON SHIP nstructions 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3669570 30021 22 3 33 31383.66 0.03 0.07 R F 1993-10-17 1993-10-19 1993-11-13 TAKE BACK RETURN TRUCK s boost along the blithe 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3661638 164989 22 1 20 41079.60 0.09 0.02 R F 1992-12-19 1992-11-14 1993-01-06 NONE FOB y after the dolphin 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3621191 187503 22 2 6 9543.00 0.00 0.01 R F 1993-04-02 1993-03-28 1993-04-23 DELIVER IN PERSON AIR brave theodo 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3602818 117510 22 4 1 1527.51 0.09 0.01 N O 1997-06-30 1997-07-19 1997-07-29 NONE TRUCK e slyly regular reques 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3591552 105001 22 3 39 39234.00 0.02 0.06 A F 1994-02-16 1994-03-04 1994-03-04 TAKE BACK RETURN REG AIR nts sleep  1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3589698 120021 22 2 15 15615.30 0.01 0.07 N O 1995-10-15 1995-11-26 1995-10-21 TAKE BACK RETURN TRUCK lites cajole slyly 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3587300 67515 22 4 8 11860.08 0.07 0.07 A F 1993-03-28 1993-03-21 1993-04-10 DELIVER IN PERSON REG AIR  bravely around the 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3583527 12518 22 1 1 1430.51 0.00 0.03 N F 1995-06-01 1995-08-03 1995-06-22 COLLECT COD TRUCK nd the packag 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3561475 102491 22 3 23 34350.27 0.06 0.02 A F 1994-12-03 1995-01-11 1994-12-20 TAKE BACK RETURN REG AIR y slyly final accounts. quickly final acco 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3538304 107511 22 4 11 16703.61 0.05 0.07 N O 1996-08-16 1996-10-13 1996-08-22 TAKE BACK RETURN RAIL unts. blithely pending requests affi 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3534566 60021 22 7 44 43164.88 0.01 0.02 R F 1992-11-03 1992-10-26 1992-11-30 TAKE BACK RETURN TRUCK ounts. unusual attainments around the car 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3524645 197502 22 2 20 31990.00 0.07 0.00 N O 1997-04-16 1997-05-24 1997-04-27 DELIVER IN PERSON AIR ages. carefully 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3509252 142479 22 7 16 24343.52 0.05 0.00 N O 1995-12-12 1995-10-29 1995-12-25 DELIVER IN PERSON REG AIR requests cajole slyly regular, f 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3495139 7521 22 7 20 28570.40 0.04 0.04 N O 1995-08-12 1995-08-06 1995-08-21 COLLECT COD REG AIR ckages along the bold t 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3455462 132482 22 5 13 19688.24 0.05 0.01 N O 1996-08-05 1996-07-08 1996-08-12 NONE FOB special deposits. f 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3440100 114999 22 3 50 100699.50 0.02 0.08 N O 1996-07-11 1996-05-10 1996-08-06 DELIVER IN PERSON RAIL sheaves. even, quick din 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3437153 154991 22 4 22 45011.78 0.02 0.02 R F 1994-05-10 1994-07-17 1994-06-08 COLLECT COD SHIP uriously regular deposits cajole a 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3430114 144993 22 6 47 95785.53 0.06 0.00 A F 1992-06-04 1992-05-25 1992-06-06 TAKE BACK RETURN MAIL  theodolites. sl 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3423396 105001 22 3 45 45270.00 0.02 0.05 N O 1995-07-09 1995-08-29 1995-07-25 NONE SHIP  accounts sleep ruthlessly unu 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3414114 124997 22 1 32 64703.68 0.06 0.02 A F 1994-07-22 1994-06-18 1994-08-21 DELIVER IN PERSON SHIP al, quiet deposits run about 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3412197 90021 22 4 39 39429.78 0.00 0.04 N O 1995-07-03 1995-05-12 1995-07-15 TAKE BACK RETURN TRUCK quietly even deposits. fu 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
1 3402946 147507 22 5 48 74616.00 0.04 0.03 N O 1997-05-13 1997-03-01 1997-06-04 COLLECT COD RAIL inos. dugouts sl 1 22 RUSSIA 3  requests against the platelets use never according to the quickly regular pint 
